Fecha,Tipo,Monto BTC,Estado,Descripcion
12/14/24,Recibido,0.00000229,OK,Red lightning
12/16/24,Enviado,-0.00044796,OK,Deposito en garantia
12/16/24,Recibido,0.00480828,OK,Red bitcoin
12/16/24,Enviado,-0.00009118,Failed,Deposito en garantia
12/16/24,Enviado,-0.00001118,OK,Deposito en garantia
12/16/24,Enviado,-0.00003357,OK,Deposito en garantia
12/16/24,Enviado,-0.00022412,OK,Deposito en garantia
12/16/24,Recibido,0.00047183,OK,Red bitcoin
12/17/24,Enviado,-0.00224366,Failed,Deposito en garantia
12/17/24,Enviado,-0.0002266,OK,Deposito en garantia
12/17/24,Enviado,-0.0000086,Failed,Deposito en garantia
12/17/24,Enviado,-0.0001102,Failed,Deposito en garantia
12/17/24,Recibido,0.00937849,OK,Red bitcoin
12/17/24,Enviado,-0.00147211,OK,Deposito en garantia
12/17/24,Enviado,-0.00147156,OK,Deposito en garantia
12/17/24,Enviado,-0.00117804,OK,Deposito en garantia
12/17/24,Enviado,-0.00098614,Failed,Deposito en garantia
12/17/24,Enviado,-0.00004439,OK,Deposito en garantia
12/17/24,Enviado,-0.00022543,Failed,Deposito en garantia
12/17/24,Enviado,-0.00000861,OK,Deposito en garantia
12/17/24,Enviado,-0.00094673,OK,Deposito en garantia
12/17/24,Enviado,-0.00011003,OK,Deposito en garantia
12/17/24,Enviado,-0.00043697,OK,Deposito en garantia
12/17/24,Enviado,-0.00154675,OK,Deposito en garantia
12/17/24,Enviado,-0.00011035,OK (no verificado),Deposito en garantia
12/18/24,Enviado,-0.00298354,Failed,Deposito en garantia
12/19/24,Enviado,-0.00100525,OK,Deposito en garantia
12/19/24,Enviado,-0.0024901,OK,Deposito en garantia
12/19/24,Enviado,-0.0004977,OK,Deposito en garantia
12/19/24,Enviado,-0.00143056,OK,Deposito en garantia
12/19/24,Enviado,-0.00104571,OK,Deposito en garantia
12/19/24,Enviado,-0.00204797,Failed,Deposito en garantia
12/19/24,Enviado,-0.00207769,Failed,Deposito en garantia
12/19/24,Enviado,-0.00102217,Failed,Deposito en garantia
12/19/24,Recibido,0.01547876,OK,Red bitcoin
12/20/24,Enviado,-0.00122602,OK,Deposito en garantia
12/20/24,Enviado,-0.00305791,Failed,Deposito en garantia
12/20/24,Enviado,-0.00042537,Failed,Deposito en garantia
12/20/24,Enviado,-0.00105055,Failed,Deposito en garantia
12/20/24,Enviado,-0.00211846,Failed,Deposito en garantia
12/20/24,Enviado,-0.00133405,Failed,Deposito en garantia
12/20/24,Enviado,-0.00026414,OK,Deposito en garantia
12/20/24,Enviado,-0.00124769,Failed,Deposito en garantia
12/20/24,Enviado,-0.00102889,Failed,Deposito en garantia
12/21/24,Recibido,0.01528382,OK,Red bitcoin
12/21/24,Enviado,-0.00097014,OK,Escrow amount Order
12/21/24,Enviado,-0.00302405,OK,Escrow amount Order
12/23/24,Enviado,-0.00109127,OK,Deposito en garantia
12/23/24,Enviado,-0.00425747,OK,Escrow amount Order
12/23/24,Enviado,-0.00533254,OK,Escrow amount Order
12/23/24,Enviado,-0.00272087,Failed,Deposito en garantia
12/23/24,Enviado,-0.00272097,OK,Escrow amount Order
12/23/24,Enviado,-0.00163691,Failed,Deposito en garantia
12/23/24,Enviado,-0.00320631,Failed,Deposito en garantia
01/02/25,Enviado,-0.00007169,Failed,Escrow amount
01/05/25,Enviado,-0.00238904,Failed,Escrow amount
01/07/25,Enviado,-0.00048094,Failed,Deposito en garantia
01/07/25,Enviado,-0.00048472,Failed,Escrow amount
01/08/25,Enviado,-0.0008753,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00075026,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00012475,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00049908,Failed,Deposito en garantia
01/08/25,Enviado,-0.00012343,Failed,Deposito en garantia
01/08/25,Enviado,-0.00055012,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00055012,OK,Deposito en garantia Order (posible duplicado - verificar)
01/08/25,Enviado,-0.00029759,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00007935,OK,Deposito en garantia Order
01/08/25,Enviado,-0.00024536,OK,Deposito en garantia Order
01/08/25,Enviado,-0.0041713,OK,Deposito en garantia Order
