date,id,type,amount_msat,amount_fiat,fee_credit_msat,mining_fee_sat,mining_fee_fiat,service_fee_msat,service_fee_fiat,payment_hash,tx_id,destination,description
2025-02-03T19:54:44.304Z,34bdba34-c8ef-4e82-bcd5-30a7cb30d18d,swap_in,144000000,145.4873 USD,0,850,0.8587 USD,1000000,1.0103 USD,,230442ef83ac384514178ef2dd9808bf6c33c242df23b648a6677ee94da6caad,,binance Colombia incoming
2025-02-03T20:14:25.088Z,24f2a2b5-796b-42d0-94d9-1e7017ca3e68,lightning_sent,-6090248,6.1531 USD,0,0,0.0000 USD,28248,0.0285 USD,c2cc8c603a29c1e90f5c94053419f31ce8bc67a603bbb8207b13c7c85d3773d3,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a0d5adcef4306544dbce9f - VENTA x COP 25000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-03T20:05:51.566Z,d893beb4-be59-468d-b392-060e73be772d,lightning_sent,-6879392,7.0156 USD,0,0,0.0000 USD,31392,0.0320 USD,ae4ec69210fe21fe756efd18cea967eb2b3d19f7f46f7d5ae55e600cf5de881c,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a03c88cef4306544db673c - VENTA x COP 28000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-03T20:20:54.823Z,7225b5e8-d28c-4430-8c77-ceb599a60d55,lightning_sent,-24079920,24.5568 USD,0,0,0.0000 USD,99920,0.1018 USD,5e8de85d11d6981d1e133298d2317942bddbde7512d5bb858594cb34413f1f6c,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a0c2f9cef4306544dba99b - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-03T21:31:49.971Z,776ca624-254c-4a4d-9821-f60e095b91a1,lightning_sent,-19712520,19.9522 USD,0,0,0.0000 USD,82520,0.0835 USD,565905e7725ab6171da57c161a5680e513c084777904f082b677c4019e874fb4,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a1241ccef4306544dc3345 - VENTA x COP 83000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-03T22:08:16.307Z,a546204a-e1cc-44fa-a0e3-a449a31a5ebc,lightning_sent,-71779960,73.1944 USD,0,0,0.0000 USD,289960,0.2956 USD,8064fc87aa6b9060cf4ed1cb0c70fd560ed712a9713f0a671e39789c001d5cee,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a123a3cef4306544dc3176 - VENTA x COP 300000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T00:57:01.548Z,7c459ad9-12a2-4299-a106-7d62ba343b3e,swap_in,489584000,495.6439 USD,0,416,0.4211 USD,0,0.0000 USD,,7bf73fe232ea81eb9a5ea14eaf1c19289794bda9ad7316855ab8147c34cf8a3d,,
2025-02-04T01:47:26.839Z,afdff8a8-6e33-45c7-b4cb-3d109f2a8711,lightning_sent,-141267804,143.1068 USD,0,0,0.0000 USD,566804,0.5741 USD,a743c4fa7ec54bc23a4d4eb65d2f3e657d5580a80f11c264dd303fceb1e0b6ba,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,"@lnp2pBot - Depósito en garantía Orden #67a15c27cef4306544dc69c7 - VENTA x COP 588000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
---
se lo consignaron a fabian"
2025-02-04T14:28:32.253Z,6ac265f8-6e5b-493f-b9ca-60918ffe4a1a,lightning_sent,-72745808,72.1611 USD,0,0,0.0000 USD,293808,0.2914 USD,9f99f85880321a40d755a843313aa177b6bd276cce6a2a76754f324c4c18a27c,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a15fafcef4306544dc6b22 - VENTA x COP 300000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T16:20:23.622Z,76efa990-8a71-4854-b53d-fe4931f5b506,lightning_sent,-122761072,121.7744 USD,0,0,0.0000 USD,493072,0.4891 USD,c37b402cbfdb8da8d2dac38b053b00318bd20947159e995b698970328498657e,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a20963cef4306544dcc3b8 - VENTA x COP 500000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T16:31:19.521Z,863d37da-fb53-47b5-af41-ffc27951906f,lightning_sent,-24811836,24.6837 USD,0,0,0.0000 USD,102836,0.1023 USD,bb74c9cbafa1685a5127c2701898e6c50189bf42cdc6487a21f05f0343422d8e,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a229e2cef4306544dcf0e5 - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T16:46:54.778Z,3ab49551-c537-4d9e-92cb-b858e380ffb7,lightning_sent,-122830348,122.4377 USD,0,0,0.0000 USD,493348,0.4917 USD,22901a34dc1de905f7593e2181cbfc9052f73512450480f157d0162cd8488f67,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a23b1ccef4306544dd1624 - VENTA x COP 500000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T17:27:57.916Z,239cfd67-1d70-410f-b76c-166f93057dd2,lightning_sent,-12408420,12.3018 USD,0,0,0.0000 USD,53420,0.0529 USD,544058e49ba192496d22708a1a867bf7ea63e53f46471479788ad13a10c69e4a,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a1277dcef4306544dc3858 - VENTA x COP 50000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T17:49:16.478Z,fb7ef36d-d6f5-4daa-907f-b3d2d330f2aa,swap_in,744626000,738.7020 USD,0,624,0.6190 USD,0,0.0000 USD,,afade627aea7aaa793128b5f1065457794ccef6bbf0d1941fa53f26edf2fd7f9,,
2025-02-04T17:57:41.956Z,09efc567-2f98-4b06-8912-e22f83a85127,lightning_sent,-136307040,135.2226 USD,0,0,0.0000 USD,547040,0.5426 USD,191b25497f3aa2f68937554f71ea96666bea40095339f0991845335ff9648e23,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a10c4fcef4306544dc1c5d - VENTA x COP 550000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T18:02:22.916Z,612dd131-926c-4deb-b6f5-4bc152c51db0,swap_in,1688681000,1675.6943 USD,0,624,0.6192 USD,0,0.0000 USD,,8fe99c3e688bd632d2c388cac7c7687737a2186430fdce5597f461e198aeef22,,
2025-02-04T18:18:29.902Z,6db8e854-3290-4ef2-b25a-63d882b2e7ef,lightning_sent,-242979028,241.1104 USD,0,0,0.0000 USD,972028,0.9645 USD,4d361ace265313221db5631050b32be7b5d553d53a0c587bde29ae034a843fef,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a25726cef4306544dd3c62 - VENTA x COP 1000000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T20:38:49.763Z,cd627d54-88b5-48fb-aa28-268800e33234,lightning_sent,-36165068,35.9448 USD,0,0,0.0000 USD,148068,0.1471 USD,3a5e2c53de77daa954f0287c6528ac728dc22a6829cd466bb3c2e16b6b91512e,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a26959cef4306544dd5bc0 - VENTA x COP 150000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T20:43:46.913Z,64737bf8-2499-4af3-b3a3-bb7a9c983d0a,lightning_sent,-24264656,23.8773 USD,0,0,0.0000 USD,100656,0.0990 USD,25a3e99905b3a9a92be237aa3f949adc7fe0a52041b2db7085406d4627e4c7b8,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a25a24cef4306544dd41c0 - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T20:51:24.263Z,a2377bd3-ffc0-47c3-9911-dc48fea9ab74,lightning_sent,-24341964,23.9534 USD,0,0,0.0000 USD,100964,0.0993 USD,c89ffd264d3e51686c885bc110af8de3195c0e3d7a26afffed4d7fe63efa6986,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a27c05cef4306544dd72a3 - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
2025-02-04T21:10:16.069Z,c979311b-299e-4e64-938e-39971e00d935,lightning_sent,-24403208,23.9036 USD,0,0,0.0000 USD,101208,0.0991 USD,da977881a30416e8b0b1499ec49616562b1fa83d4a6d2e01a2f83a2470e077d4,,0380c5536d70b81137cb72fc71c262f50a3ec5a6fa9e517ef3637d889fb0b7e3db,@lnp2pBot - Depósito en garantía Orden #67a27d82cef4306544dd7695 - VENTA x COP 100000 - SE CONGELA EN BILLETERA. Se libera una vez ejecute /release. Retorna a la wallet si el comprador no confirma el pago
